	module id	gene name	median expression	mean pairwise dist	median pairwise dist	min pairwise dist	max pairwise dist	range pairwise dist	operon_name
PA14_28870	6		122.0527925875845	14651.538461538461	13270.0	5.0	30960.0	30955.0	PA14_28850-PA14_28870
PA14_51530	19	exoU	1668.81093197879	19104.552631578947	20205.0	10.0	36640.0	36630.0	exoU-spcU
PA14_59360	8	pilM2	21.0561069796994	12549.89010989011	12130.0	10.0	28890.0	28880.0	pilL2-pilN2-pilO2-pilP2-pilQ2-pilR2-pilS2-pilT2-pilV2-pilM2
PA14_52120	12		56.417078266648744	11923.272727272728	6500.0	10.0	36680.0	36670.0
PA14_31060	24		606.926460021511	18911.11111111111	20510.0	90.0	36630.0	36540.0	PA14_31100-PA14_31090-PA14_31080-PA14_31070-PA14_31060-PA14_31050
PA14_59250	16	pilN2	41.330500031854555	6107.3538461538465	620.0	10.0	32180.0	32170.0	pilL2-pilN2-pilO2-pilP2-pilQ2-pilR2-pilS2-pilT2-pilV2-pilM2
PA14_54050	17		82.6179494273501	18373.333333333332	17970.0	10.0	35990.0	35980.0	PA14_54070-PA14_54050
PA14_15650	26		102.2225149237835	16528.03267973856	16543.0	3.0	36350.0	36347.0
PA14_59800	18	pvrS	338.2783674024045	17024.380952380954	17750.0	10.0	35830.0	35820.0	PA14_59800-pvrR-rcsC-rcsB
PA14_59170	7		192.96858931298402	18264.117647058825	20125.0	10.0	36440.0	36430.0
PA14_20600	5		213.598181552722	7290.0	10400.0	10.0	15600.0	15590.0
PA14_35710	29		237.6564308494915	16991.742424242424	17865.0	10.0	35970.0	35960.0	PA14_35720-PA14_35710
PA14_15570	25		211.5427161968195	19249.416666666668	19210.0	10.0	35540.0	35530.0
PA14_46460	24		424.89025262313646	18911.11111111111	20510.0	90.0	36630.0	36540.0
PA14_59000	4		14.6915282921508	3354.4761904761904	685.0	10.0	25070.0	25060.0	PA14_59000-PA14_59010-PA14_59020-PA14_59030-PA14_59050-PA14_59060-PA14_59070-PA14_59090-PA14_59100-PA14_59110-PA14_59120
PA14_03360	6		406.98637602772	14651.538461538461	13270.0	5.0	30960.0	30955.0	PA14_03360-PA14_03350
PA14_30850	36		27.90517633422175	19002.222222222223	17830.0	200.0	32650.0	32450.0	PA14_30880-PA14_30870-PA14_30860-PA14_30850
PA14_28230	33		20.031912709820702	16742.679738562092	13650.0	10.0	36510.0	36500.0
PA14_26200	10		8.074511291413245	15421.52380952381	14930.0	10.0	35240.0	35230.0
PA14_15450	5	merD	30.6954710035372	7290.0	10400.0	10.0	15600.0	15590.0	merA-merD-merE-PA14_15435
PA14_19930	17		18.476852781290702	18373.333333333332	17970.0	10.0	35990.0	35980.0	PA14_19950-PA14_19940-PA14_19930
