BioProject_ID,SRA_ID,Strain,Genotype,Abx_Marker,Variant_Phenotype,Medium,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA527727,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP188684,PAO1,"delta-algR, delta-cdpR, delta-exsA, delta-fleQ, delta-gacA, delta-gbdR, delta-lasR, delta-pchR, delta-phoB, delta-rsaL, delta-sphR, delta-vqsR, delta-qscR, delta-vqsM",NA,Knockout,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA506970,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP170733,Clinical Isolates,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA391260,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP109989,PAO1,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA322024,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP075343,PAO1,"RpoN(WT), RpoN(DK2)",NA,Other,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA322024,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP075343,PAO1,"RpoN(WT), RpoN(DK2)",NA,Other,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA509195,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP173226,Clinical Isolates,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA523578,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP186484,PA3,transformed with pHerdB20T-gp68,NA,Other,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA438513,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP135806,NA,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA525278,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP187353,PAO1,PA4595,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA238223,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP037772,PA14,transposon mutant of pqsA; pqsA::Mar2xT7,NA,Transposon Mutant,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA448429,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP136942,PAK,"delta-pilA (PA4525), delta-pilR (PA4547)",NA,Knockout,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA493733,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP162817,PAO1,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA486815,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP158426,PAO1,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA402082,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP117105,PAO1,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA433727,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP132626,PAO1,delta-rpoN,NA,Knockout,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA368955,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP097886,PAO1,Hexahistidine-tagged RsmN was expressed from plasmid pMR4,NA,Other,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA445735,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP136496,PAK,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA433924,NA,PAO1,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA433924,NA,PAO1,delta-rpoN,NA,Knockout,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA430510,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP131105,PAO1,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA430510,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP131105,PAO1,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA389442,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP108691,Clinical Isolates,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA340008,NA,PAK,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA340008,NA,Phage,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA326956,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP077289,Clinical Isolates,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA307603,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP068063,PAK,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA307603,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP068063,Phage,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA318881,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP073483,PA14,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA318881,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP073483,PA14,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA291596,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP061883,PA14,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA239334,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP038922,PA14,RhlR transposon mutant,NA,Transposon Mutant,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA239334,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP038922,PA14,"LadS transposon mutant, RhlR transposon mutant, GacA transposon mutant, Anr transposon mutant, delta-LasR, FleQ transposon mutant, Cbrb transposon mutant",NA,Transposon Mutant,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA312967,NA,PAO1,NA,NA,NA,LB,,
